"","okved","total_index","foiv","impact"
"1","Прочие производства",70.3703703703704,"Минэкономразвития","Низкая"
"2","Транспорт",96.2962962962963,"Минтранс","Низкая"
"3","Государственное управление",84.9056603773585,"Минэкономразвития","Высокая"
"4","Транспорт",88.8888888888889,"Минтранс","Средняя"
"5","Государственное управление",96.2962962962963,"Минспорт","Низкая"
"6","Государственное управление",86.6666666666667,"ФТС","Средняя"
"7","Рыболовство, рыбоводство",93.3333333333333,"Минсельхоз","Средняя"
"8","Внешнеэкономическая деятельность",82.2222222222222,"ФТС","Средняя"
"9","Строительство",80,"Минстрой","Средняя"
"10","Рыболовство, рыбоводство",93.3333333333333,"Минсельхоз","Средняя"
"11","Государственное управление",33.3333333333333,"ФТС","Низкая"
"12","Производство и распределение электроэнергии, газа и воды",93.3333333333333,"ФАС","Средняя"
"13","Транспорт",52.8301886792453,"Минтранс","Высокая"
"14","Государственное управление",86.6666666666667,"ФАС","Средняя"
"15","Прочие производства",100,"Минпромторг","Низкая"
"16","Финансовая деятельность",75.5555555555556,"Минфин","Средняя"
"17","Связь",70.3703703703704,"Минцифры","Низкая"
"18","Экология",96.2962962962963,"Минприроды","Низкая"
"19","Внешнеэкономическая деятельность",82.2222222222222,"ФТС","Средняя"
"20","Государственное управление",84.4444444444444,"ФТС","Средняя"
"21","Внешнеэкономическая деятельность",84.4444444444444,"ФТС","Средняя"
"22","Налоговое администрирование",84.4444444444444,"ФТС","Средняя"
"23","Строительство",84.4444444444444,"Минстрой","Средняя"
"24","Государственное управление",84.4444444444444,"Минстрой","Средняя"
"25","Финансовая деятельность",73.3333333333333,"Минфин","Средняя"
"26","Добыча топливно-энергетических полезных ископаемых",85.1851851851852,"Минтранс","Низкая"
"27","Государственное управление",84.4444444444444,"ФТС","Средняя"
"28","Транспорт",77.7777777777778,"Минтранс","Средняя"
"29","Финансовая деятельность",60.377358490566,"Минфин","Высокая"
"30","Добыча топливно-энергетических полезных ископаемых",92.4528301886792,"Минприроды","Высокая"
"31","Финансовая деятельность",62.962962962963,"Минфин","Низкая"
"32","Государственное управление",20.7547169811321,"ФТС","Высокая"
"33","Внешнеэкономическая деятельность",20.7547169811321,"ФТС","Высокая"
"34","Финансовая деятельность",57.7777777777778,"Минфин","Средняя"
"35","Добыча топливно-энергетических полезных ископаемых",91.1111111111111,"МЧС","Средняя"
"36","Металлургическое производство",91.1111111111111,"МЧС","Средняя"
"37","Прочие производства",91.1111111111111,"МЧС","Средняя"
"38","Строительство",91.1111111111111,"МЧС","Средняя"
"39","Строительство",81.4814814814815,"Минстрой","Низкая"
"40","Государственное управление",81.4814814814815,"Минстрой","Низкая"
"41","Здравоохранение",80,"Минздрав","Средняя"
"42","Образование",82.2222222222222,"Минобрнауки","Средняя"
"43","Финансовая деятельность",93.3333333333333,"ФНС","Средняя"
"44","Государственное управление",85.1851851851852,"Минэкономразвития","Низкая"
"45","Лесное хозяйство",86.6666666666667,"Минприроды","Средняя"
"46","Финансовая деятельность",62.2222222222222,"Минфин","Средняя"
"47","Государственное управление",88.6792452830189,"Минпромторг","Высокая"
"48","Строительство",84.9056603773585,"Минстрой","Высокая"
