,project_id,foiv,7.1,7.1_other,14.2,14.3,14.4,7.2,7.2_other,7.1.6_total_once,7.1.6_total_regular,7.1.6_total_benefit_once,7.1.6_total_benefit_regular,9.5,9.6,9.7,2.1
0,97110,Минпромторг России,cit_no_action,foiv_no_action,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
1,98158,Минсельхоз России,actor_specific,no_info,valid,valid,valid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
2,95647,Минфин России,foiv_cit_no_action,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
3,100057,Минфин России,actor_specific,no_info,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
4,96660,Минтранс России,actor_specific,mystery,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
5,99842,Минпромторг России,actor_specific,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
6,98990,Минтруд России,actor_general,mystery,valid,invalid,valid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
7,98731,ФСБ России,actor_specific,no_info,invalid,invalid,valid,invalid,invalid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
8,99889,Минтруд России,actor_specific,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
9,102955,Минприроды России,foiv_no_action,actor_general,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,средняя
10,99287,Минтранс России,foiv_no_action,mystery,invalid,invalid,invalid,valid,valid,invalid,invalid,invalid,invalid,zero,zero,zero,средняя
11,101718,Минсельхоз России,no_info,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
12,101718,Минсельхоз России,no_info,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
13,101718,Минсельхоз России,no_info,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
14,101718,Минсельхоз России,no_info,no_info,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,invalid,высокая
