duma_project_id;introduction_date
1192824-7;2021-06-15
346126-7;2017-12-20
970757-7;2020-06-10
1028355-7;2020-10-01
1006365-7;2020-08-12
1104708-6;2016-06-21
673776-6;2014-12-10
495240-7;2018-06-25
679025-7;2019-04-02
494136-7;2018-06-22
800677-7;2019-09-26
776943-6;2015-04-23
886268-7;2020-01-21
447606-6;2014-02-10
817433-6;2015-06-17
886244-7;2020-01-21
880655-7;2020-01-13
771880-6;2015-04-17
797558-7;2019-09-23
794265-7;2019-09-16
768008-7;2019-08-02
792837-7;2019-09-12
760345-7;2019-07-23
740210-7;2019-06-26
707227-7;2019-05-13
444366-6;2014-02-05
652130-7;2019-02-25
1197913-7;2021-06-22
641050-7;2019-02-07
763980-6;2015-04-08
1197903-7;2021-06-22
1197897-7;2021-06-22
728305-7;2019-06-11
1027793-6;2016-03-25
1103087-6;2016-06-20
682283-7;2019-04-05
1197680-7;2021-06-21
617692-7;2018-12-27
1197674-7;2021-06-21
989013-7;2020-07-14
185313-7;2017-05-25
1103086-6;2016-06-20
612474-7;2018-12-20
676021-6;2014-12-13
1128010-7;2021-03-12
1027757-7;2020-09-30
672438-6;2014-12-09
657608-7;2019-03-02
1126427-7;2021-03-10
989667-7;2020-07-15
627552-7;2019-01-16
664659-6;2014-11-28
653568-7;2019-02-26
642838-6;2014-11-06
1027755-7;2020-09-30
433165-6;2014-01-21
120495-7;2017-03-10
650809-7;2019-02-21
1197519-7;2021-06-21
601732-7;2018-12-05
1090912-7;2021-01-12
647044-7;2019-02-16
1184172-6;2016-09-29
645595-7;2019-02-14
1101780-6;2016-06-17
1196215-7;2021-06-18
600116-7;2018-12-04
415686-6;2013-12-24
1196129-7;2021-06-18
587542-7;2018-11-14
632488-6;2014-10-23
583920-7;2018-11-09
1027754-7;2020-09-30
983159-7;2020-07-03
487456-6;2014-04-02
1195750-7;2021-06-18
577378-7;2018-10-31
1153945-7;2021-04-19
611455-6;2014-09-30
1195605-7;2021-06-17
576323-7;2018-10-30
506459-7;2018-07-09
1027753-7;2020-09-30
1195294-7;2021-06-17
1195224-7;2021-06-17
555658-6;2014-06-27
1118027-6;2016-07-05
58940-7;2016-12-20
1194220-7;2021-06-16
1116411-7;2021-02-20
750505-7;2019-07-10
483151-7;2018-06-08
1193924-7;2021-06-16
581316-6;2014-08-01
1193676-7;2021-06-16
500607-7;2018-07-02
575135-6;2014-07-23
1099990-6;2016-06-15
1193673-7;2021-06-16
496293-7;2018-06-26
1098081-7;2021-01-21
486691-6;2014-04-01
574367-6;2014-07-23
1193668-7;2021-06-16
107145-7;2017-02-21
564013-7;2018-10-11
496070-7;2018-06-26
1193660-7;2021-06-16
1099964-6;2016-06-15
1056917-6;2016-04-27
563715-7;2018-10-11
494210-7;2018-06-22
1193651-7;2021-06-16
1582-7;2016-10-07
1055875-6;2016-04-26
403657-7;2018-03-01
1193650-7;2021-06-16
477238-7;2018-05-30
667298-6;2014-12-02
514334-7;2018-07-19
560581-7;2018-10-06
1193643-7;2021-06-16
475951-7;2018-05-29
560373-6;2014-07-03
551394-7;2018-09-21
912458-7;2020-03-03
1193642-7;2021-06-16
461450-7;2018-05-08
48492-7;2016-12-07
1040799-6;2016-04-11
564208-7;2018-10-11
461385-7;2018-05-08
1040775-6;2016-04-11
457554-7;2018-05-04
457178-7;2018-05-04
452437-7;2018-04-26
555389-6;2014-06-26
446726-7;2018-04-20
434710-7;2018-04-05
433434-7;2018-04-04
1039060-7;2020-10-19
555187-6;2014-06-26
1097292-6;2016-06-10
433157-7;2018-04-04
426908-7;2018-03-27
67439-7;2016-12-29
1181477-7;2021-05-27
1180837-7;2021-05-26
416282-7;2018-03-16
404799-7;2018-03-02
395679-7;2018-02-21
551845-7;2018-09-21
544267-6;2014-06-10
381903-7;2018-02-06
374843-7;2018-01-27
1178149-7;2021-05-24
550504-6;2014-06-20
374380-7;2018-01-26
1176403-7;2021-05-20
348539-7;2017-12-22
346930-7;2017-12-21
346191-7;2017-12-20
344768-7;2017-12-19
328730-7;2017-11-30
324566-7;2017-11-27
317530-7;2017-11-17
305068-7;2017-11-03
544931-7;2018-09-07
482819-6;2014-03-27
1176745-7;2021-05-21
125498-7;2017-03-16
1227922-7;2021-08-05
544566-7;2018-09-06
1227901-7;2021-08-05
1226427-7;2021-08-03
1175525-7;2021-05-19
1036398-6;2016-04-05
1174787-7;2021-05-19
1035872-7;2020-10-14
673287-7;2019-03-25
543782-6;2014-06-10
1222066-7;2021-07-27
1219893-7;2021-07-23
1217297-7;2021-07-19
970481-7;2020-06-09
103313-7;2017-02-15
482681-7;2018-06-07
543504-6;2014-06-09
1032321-6;2016-03-31
482489-7;2018-06-07
1214051-7;2021-07-13
1086493-6;2016-05-30
1213301-7;2021-07-13
919695-6;2015-11-02
482193-6;2014-03-27
1212919-7;2021-07-13
310244-6;2013-07-05
1031881-7;2020-10-07
541391-6;2014-06-05
392898-6;2013-11-25
1207312-7;2021-07-05
1084643-7;2020-12-25
1031837-6;2016-03-30
537948-6;2014-06-03
392886-6;2013-11-25
711938-6;2015-01-30
1031442-6;2016-03-30
534085-6;2014-05-28
963891-7;2020-05-28
1031440-6;2016-03-30
551270-6;2014-06-21
311411-6;2013-07-08
1079811-7;2020-12-21
1031401-6;2016-03-30
551219-7;2018-09-20
1095256-6;2016-06-08
1079717-7;2020-12-21
1031221-7;2020-10-07
402517-7;2018-02-28
311101-6;2013-07-08
1027748-7;2020-09-30
1031000-6;2016-03-29
