regulation_project_id;public_discussion_end
45715;18.03.2016 23:00:00
13583;06.05.2014 00:00:00
90868;05.09.2019 23:59:00
7242;15.02.2014 00:00:00
15230;26.07.2014 00:00:00
6521;06.09.2013 00:00:00
39434;14.10.2015 23:00:00
38594;03.11.2015 23:00:00
44461;26.01.2016 23:00:00
47169;04.05.2016 23:00:00
1258;12.10.2013 00:00:00
52612;17.05.2019 23:59:00
55362;14.12.2016 23:00:00
73185;16.03.2018 23:00:00
73693;24.10.2017 23:00:00
73745;03.11.2017 23:00:00
74031;09.11.2017 23:00:00
80880;27.06.2018 23:00:00
3800;06.12.2013 00:00:00
15532;12.07.2014 00:00:00
26975;31.08.2015 23:00:00
18530;27.08.2015 00:00:00
38161;24.09.2015 23:00:00
21430;07.10.2015 01:00:00
21433;22.09.2015 01:00:00
44907;29.02.2016 23:00:00
45105;18.02.2016 23:00:00
45260;25.03.2016 23:00:00
17269;26.09.2014 00:00:00
14362;31.10.2014 00:00:00
52755;12.09.2016 23:00:00
53241;10.10.2016 23:00:00
5776;14.09.2013 00:00:00
20589;10.02.2015 00:00:00
18565;17.10.2014 00:00:00
14871;28.05.2014 00:00:00
18572;17.10.2014 00:00:00
15610;15.08.2014 00:00:00
11353;01.03.2014 00:00:00
11357;30.12.2014 00:00:00
18574;06.11.2014 23:59:00
9992;09.01.2014 00:00:00
56264;08.11.2016 23:00:00
17582;
12788;29.03.2014 00:00:00
15626;26.07.2014 00:00:00
12790;13.04.2014 00:00:00
19177;29.10.2014 00:00:00
12803;29.03.2014 00:00:00
11426;01.03.2014 00:00:00
5881;13.09.2013 00:00:00
14248;14.08.2014 00:00:00
17151;09.09.2014 00:00:00
14265;22.05.2014 00:00:00
8709;08.12.2013 23:59:00
10571;25.12.2013 00:00:00
12828;14.06.2014 00:00:00
17192;17.09.2014 00:00:00
17203;13.12.2014 00:00:00
14298;30.07.2014 00:00:00
20363;14.03.2015 00:00:00
8756;14.01.2014 23:59:00
12847;28.05.2014 00:00:00
18771;08.11.2014 00:00:00
11523;20.08.2014 00:00:00
18782;20.11.2014 00:00:00
5980;12.09.2013 00:00:00
15765;29.08.2014 00:00:00
7952;
8858;04.12.2013 23:59:00
15779;02.09.2014 00:00:00
15780;27.08.2014 00:00:00
17324;26.09.2014 00:00:00
14874;12.07.2014 00:00:00
15796;28.08.2014 00:00:00
11777;11.02.2014 00:00:00
18865;29.11.2015 23:00:00
8911;13.12.2013 00:00:00
13735;16.04.2014 00:00:00
15843;31.08.2014 00:00:00
18877;27.02.2015 00:00:00
18879;21.11.2014 00:00:00
14462;11.07.2014 00:00:00
14464;11.06.2014 00:00:00
15859;01.08.2014 00:00:00
14473;04.10.2014 00:00:00
14475;29.05.2014 00:00:00
14476;29.05.2014 00:00:00
62208;15.05.2017 23:00:00
17507;20.09.2014 00:00:00
7505;21.03.2014 00:00:00
17478;10.03.2017 23:00:00
14510;21.07.2014 00:00:00
14517;10.12.2014 23:59:00
17490;02.10.2014 00:00:00
15938;22.07.2014 23:59:00
4947;28.12.2013 00:00:00
2500;30.07.2013 00:00:00
18959;01.11.2014 00:00:00
17525;11.11.2014 00:00:00
20200;31.01.2015 00:00:00
4976;20.08.2013 00:00:00
2257;02.09.2014 00:00:00
10403;30.01.2014 00:00:00
10350;18.02.2014 23:59:00
12989;12.06.2014 00:00:00
6506;05.09.2013 00:00:00
16071;26.07.2014 00:00:00
6322;28.11.2013 00:00:00
19039;07.12.2014 00:00:00
17624;19.10.2014 00:00:00
7686;31.12.2013 00:00:00
11904;15.03.2014 00:00:00
17635;05.10.2014 00:00:00
7702;26.04.2014 00:00:00
3804;11.07.2013 00:00:00
17645;31.12.2014 00:00:00
19188;24.10.2014 00:00:00
16112;23.10.2014 00:00:00
6371;19.10.2013 00:00:00
56328;09.11.2016 23:00:00
10492;23.02.2014 00:00:00
15023;05.08.2014 00:00:00
13301;17.05.2014 00:00:00
6417;05.10.2013 00:00:00
7755;05.01.2014 00:00:00
82493;10.08.2018 23:00:00
12404;28.02.2014 00:00:00
5186;09.09.2013 00:00:00
10560;26.01.2014 00:00:00
16176;01.08.2014 00:00:00
7886;21.11.2013 00:00:00
13067;26.05.2014 00:00:00
14867;28.06.2014 00:00:00
11072;25.01.2014 00:00:00
9321;14.01.2014 00:00:00
17826;16.12.2014 00:00:00
17735;16.10.2014 00:00:00
7788;18.08.2015 00:00:00
12701;26.03.2014 00:00:00
16197;15.08.2014 00:00:00
9326;13.12.2013 00:00:00
6510;10.10.2014 00:00:00
9332;22.01.2014 00:00:00
8263;17.01.2014 00:00:00
7990;20.04.2014 00:00:00
15533;30.07.2014 00:00:00
12105;21.09.2014 00:00:00
9347;14.08.2015 00:00:00
16217;31.07.2014 00:00:00
12106;09.10.2014 00:00:00
10620;23.03.2014 00:00:00
25487;14.05.2015 00:00:00
17777;07.11.2014 23:59:00
9269;10.05.2014 23:59:00
13257;27.07.2015 23:00:00
15748;22.08.2014 00:00:00
8036;08.11.2013 23:59:00
10672;14.01.2014 00:00:00
13263;14.06.2014 00:00:00
8047;08.11.2013 23:59:00
12121;22.03.2014 00:00:00
7861;25.12.2013 00:00:00
12125;22.03.2014 00:00:00
10872;05.03.2014 00:00:00
17919;22.10.2014 00:00:00
16395;28.08.2014 00:00:00
14974;30.09.2014 00:00:00
12360;27.02.2014 23:59:00
17954;31.10.2014 00:00:00
8130;15.03.2014 00:00:00
13336;03.06.2014 00:00:00
45234;03.02.2016 23:00:00
10874;01.06.2014 00:00:00
9518;30.05.2014 00:00:00
8147;15.11.2013 00:00:00
10884;12.03.2014 00:00:00
16426;03.09.2014 00:00:00
8244;19.02.2014 00:00:00
8180;22.03.2014 00:00:00
6895;05.10.2013 00:00:00
16684;03.10.2014 00:00:00
16474;26.10.2014 00:00:00
47122;31.03.2016 23:00:00
12244;02.04.2019 23:00:00
16494;29.08.2014 00:00:00
14505;11.05.2014 00:00:00
9626;01.08.2014 23:59:00
15119;01.07.2014 23:59:00
13641;12.04.2014 00:00:00
18119;28.11.2014 00:00:00
12318;04.05.2014 00:00:00
9785;05.12.2013 00:00:00
12296;12.04.2014 00:00:00
18139;22.11.2014 00:00:00
6977;30.08.2014 00:00:00
